Employee_Name,EmpID,MarriedID,MaritalStatusID,EmpStatusID,DeptID,PerfScoreID,Salary,Termd,PositionID,State,Zip,DOB,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
"Adinolfi, Wilson  K",10026,0,0,1,5,4,62506,0,19,MA,1960,7/10/1983,Single,US Citizen,7/5/2011,,N/A-StillEmployed,Active,Production       ,22,LinkedIn,Exceeds,4.6,5,0,1/16/2021,0,1
"Ait Sidi, Karthikeyan   ",10084,1,1,5,3,3,104437,1,27,MA,2148,5/5/1975,Married,US Citizen,3/30/2015,6/16/2016,career change,Voluntarily Terminated,IT/IS,4,Indeed,Fully Meets,4.96,3,6,2/23/2018,0,17
"Akinkuolie, Sarah",10196,1,1,5,5,3,64955,1,20,MA,1810,9/19/1988,Married,US Citizen,7/5/2011,9/24/2012,hours,Voluntarily Terminated,Production       ,20,LinkedIn,Fully Meets,3.02,3,0,5/15/2014,0,3
"Alagbe,Trina",10088,1,1,1,5,3,64991,0,19,MA,1886,9/27/1988,Married,US Citizen,1/7/2008,,N/A-StillEmployed,Active,Production       ,16,Indeed,Fully Meets,4.84,5,0,1/2/2021,0,15
"Anderson, Carol ",10069,0,2,5,5,3,50825,1,19,MA,2169,9/8/1989,Divorced,US Citizen,7/11/2011,9/6/2016,return to school,Voluntarily Terminated,Production       ,39,Google Search,Fully Meets,5,4,0,1/31/2018,0,2
"Anderson, Linda  ",10002,0,0,1,5,4,57568,0,19,MA,1844,5/22/1977,Single,US Citizen,1/9/2012,,N/A-StillEmployed,Active,Production       ,11,LinkedIn,Exceeds,5,5,0,1/6/2021,0,15
"Andreola, Colby",10194,0,0,1,4,3,95660,0,24,MA,2110,5/24/1979,Single,US Citizen,11/10/2014,,N/A-StillEmployed,Active,Software Engineering,10,LinkedIn,Fully Meets,3.04,3,4,1/1/2021,0,19
"Athwal, Sam",10062,0,4,1,5,3,59365,0,19,MA,2199,2/18/1983,Widowed,US Citizen,9/30/2013,,N/A-StillEmployed,Active,Production       ,19,Employee Referral,Fully Meets,5,4,0,2/24/2021,0,19
"Bachiochi, Linda",10114,0,0,3,5,3,47837,0,19,MA,1902,2/11/1970,Single,US Citizen,7/6/2009,,N/A-StillEmployed,Active,Production       ,12,Diversity Job Fair,Fully Meets,4.46,3,0,1/24/2021,0,4
"Bacong, Alejandro ",10250,0,2,1,3,3,50178,0,14,MA,1886,1/7/1988,Divorced,US Citizen,1/5/2015,,N/A-StillEmployed,Active,IT/IS,7,Indeed,Fully Meets,5,5,6,2/17/2021,0,16
"Baczenski, Rachael  ",10252,1,1,5,5,3,54670,1,19,MA,1902,1/12/1974,Married,US Citizen,1/10/2011,1/12/2017,Another position,Voluntarily Terminated,Production       ,14,Diversity Job Fair,Fully Meets,4.2,4,0,1/29/2018,0,12
"Barbara, Thomas",10242,1,1,5,5,3,47211,1,19,MA,2062,2/21/1974,Married,US Citizen,4/2/2012,9/19/2016,unhappy,Voluntarily Terminated,Production       ,20,Diversity Job Fair,Fully Meets,4.2,3,0,5/6/2018,0,15
"Barbossa, Hector",10012,0,2,1,3,4,92328,0,9,TX,78230,7/4/1988,Divorced,US Citizen,11/10/2014,,N/A-StillEmployed,Active,IT/IS,4,Diversity Job Fair,Exceeds,4.28,4,5,2/24/2021,0,9
"Barone, Francesco  A",10265,0,0,1,5,3,58709,0,19,MA,1810,7/20/1983,Single,US Citizen,2/20/2012,,N/A-StillEmployed,Active,Production       ,18,Google Search,Fully Meets,4.6,4,0,2/13/2021,0,7
"Barton, Nader",10066,0,2,5,5,3,52505,1,19,MA,2747,7/15/1977,Divorced,US Citizen,9/24/2012,4/6/2017,Another position,Voluntarily Terminated,Production       ,22,On-line Web application,Fully Meets,5,5,0,3/2/2019,0,1
"Bates, Norman",10061,0,0,4,5,3,57834,1,19,MA,2050,10/18/1981,Single,US Citizen,2/21/2011,8/4/2017,attendance,Terminated for Cause,Production       ,18,Google Search,Fully Meets,5,4,0,4/5/2019,0,20
"Beak, Kimberly  ",10023,1,1,2,5,4,70131,0,20,MA,2145,4/17/1966,Married,US Citizen,7/21/2016,,N/A-StillEmployed,Active,Production       ,18,Employee Referral,Exceeds,4.4,3,0,1/13/2021,0,16
"Beatrice, Courtney ",10055,0,0,1,5,3,59026,0,19,MA,1915,10/27/1970,Single,Eligible NonCitizen,4/4/2011,,N/A-StillEmployed,Active,Production       ,16,Google Search,Fully Meets,5,5,0,1/13/2021,0,12
"Becker, Renee",10245,0,0,4,3,3,110000,1,8,MA,2026,4/4/1986,Single,US Citizen,7/7/2014,9/12/2015,performance,Terminated for Cause,IT/IS,4,Google Search,Fully Meets,4.5,4,5,1/14/2017,0,8
"Becker, Scott",10277,0,0,3,5,3,53250,0,19,MA,2452,4/6/1979,Single,US Citizen,7/8/2013,,N/A-StillEmployed,Active,Production       ,,LinkedIn,Fully Meets,4.2,4,0,1/10/2021,0,13
"Bernstein, Sean",10046,0,0,1,5,3,51044,0,19,MA,2072,12/22/1970,Single,US Citizen,4/2/2012,,N/A-StillEmployed,Active,Production       ,11,Google Search,Fully Meets,5,3,0,1/13/2021,0,13
"Biden, Lowan  M",10226,0,2,1,5,3,64919,0,19,MA,2027,12/27/1958,Divorced,US Citizen,8/19/2013,,N/A-StillEmployed,Active,Production       ,19,Indeed,Fully Meets,4.2,3,0,1/9/2021,0,2
"Billis, Helen",10003,1,1,1,5,4,62910,0,19,MA,2031,9/1/1989,Married,US Citizen,7/7/2014,,N/A-StillEmployed,Active,Production       ,12,Indeed,Exceeds,5,3,0,2/26/2021,0,19
"Blount, Dianna",10294,0,0,1,5,2,66441,0,20,MA,2171,9/21/1990,Single,US Citizen,4/4/2011,,N/A-StillEmployed,Active,Production       ,22,CareerBuilder,Needs Improvement,2,3,0,2/26/2021,2,3
"Bondwell, Betsy",10267,0,0,5,5,3,57815,1,20,MA,2210,1/16/1967,Single,US Citizen,1/10/2011,4/4/2014,career change,Voluntarily Terminated,Production       ,16,Google Search,Fully Meets,4.8,5,0,3/3/2016,0,5
"Booth, Frank",10199,0,0,4,3,3,103613,1,30,CT,6033,7/30/1964,Single,US Citizen,2/17/2014,2/19/2016,Learned that he is a gangster,Terminated for Cause,IT/IS,4,LinkedIn,Fully Meets,3.5,5,7,1/9/2018,0,2
"Boutwell, Bonalyn",10081,1,1,1,1,3,106367,0,26,MA,2468,4/4/1987,Married,US Citizen,2/16/2015,,N/A-StillEmployed,Active,Admin Offices,3,Diversity Job Fair,Fully Meets,5,4,3,2/17/2021,0,4
"Bozzi, Charles",10175,0,0,5,5,3,74312,1,18,MA,1901,3/10/1970,Single,US Citizen,9/30/2013,8/7/2014,retiring,Voluntarily Terminated,Production       ,2,Indeed,Fully Meets,3.39,3,0,2/20/2016,0,14
"Brill, Donna",10177,1,1,5,5,3,53492,1,19,MA,1701,8/24/1990,Married,US Citizen,4/2/2012,6/15/2013,Another position,Voluntarily Terminated,Production       ,14,Google Search,Fully Meets,3.35,4,0,3/4/2015,0,6
"Brown, Mia",10238,1,1,1,1,3,63000,0,1,MA,1450,11/24/1987,Married,US Citizen,10/27/2008,,N/A-StillEmployed,Active,Admin Offices,1,Diversity Job Fair,Fully Meets,4.5,2,6,1/14/2021,0,14
"Buccheri, Joseph  ",10184,0,0,1,5,3,65288,0,20,MA,1013,7/28/1983,Single,US Citizen,9/29/2014,,N/A-StillEmployed,Active,Production       ,,Google Search,Fully Meets,3.19,3,0,1/31/2021,0,9
"Bugali, Josephine ",10203,0,3,3,5,3,64375,0,19,MA,2043,10/30/1969,Separated,US Citizen,11/11/2013,,N/A-StillEmployed,Active,Production       ,20,Diversity Job Fair,Fully Meets,3.5,5,0,1/20/2021,0,17
"Bunbury, Jessica",10188,1,1,5,6,3,74326,1,3,VA,21851,6/1/1964,Married,Eligible NonCitizen,8/15/2011,8/2/2014,Another position,Voluntarily Terminated,Sales,17,Google Search,Fully Meets,3.14,5,0,2/10/2015,1,19
"Burke, Joelle",10107,0,0,1,5,3,63763,0,20,MA,2148,3/2/1980,Single,US Citizen,3/5/2012,,N/A-StillEmployed,Active,Production       ,11,Employee Referral,Fully Meets,4.51,4,0,2/20/2021,0,3
"Burkett, Benjamin ",10181,1,1,1,5,3,62162,0,20,MA,1890,8/19/1977,Married,US Citizen,4/4/2011,,N/A-StillEmployed,Active,Production       ,19,Indeed,Fully Meets,3.25,5,0,1/13/2021,0,15
